Name,Age,School
Himal,23,SBBS
Sajina,21,SBBS
Sajina,22,SBBS
Sajina,23,SBBS
Sajina,24,SBBS
Sajina,25,SBBS
Sajina,26,SBBS
Sajina,27,SBBS
Sajina,28,SBBS
Sajina,29,SBBS
Sajina,30,SBBS
Sajina,31,SBBS
Sajina,32,SBBS
Sajina,33,SBBS
Sajina,34,SBBS
Sajina,35,SBBS
Sajina,36,SBBS
Sajina,37,SBBS
Sajina,38,SBBS
Sajina,39,SBBS
Sajina,40,SBBS
Sajina,41,SBBS
Sajina,42,SBBS
Sajina,43,SBBS
Sajina,44,SBBS
Sajina,45,SBBS
Sajina,46,SBBS
Sajina,47,SBBS
Sajina,48,SBBS
Sajina,49,SBBS
Sajina,50,SBBS
Sajina,51,SBBS
Sajina,52,SBBS
Sajina,53,SBBS
Sajina,54,SBBS
Sajina,55,SBBS
Sajina,56,SBBS
Sajina,57,SBBS
Sajina,58,SBBS
Sajina,59,SBBS
Sajina,60,SBBS
Sajina,61,SBBS
